tree,SPR_dist,order,dist_type,dist_value
2,75,1,RF,180
2,80,1,RF,180
2,85,1,RF,180
2,90,1,RF,180
2,95,1,RF,184
2,100,1,RF,186
2,5,1,HOP,13
2,10,1,HOP,22
2,15,1,HOP,30
2,20,1,HOP,36
2,25,1,HOP,41
2,30,1,HOP,46
2,35,1,HOP,56
2,40,1,HOP,62
2,45,1,HOP,67
2,50,1,HOP,72
2,55,1,HOP,77
2,60,1,HOP,75
2,65,1,HOP,75
2,70,1,HOP,76
2,75,1,HOP,78
2,80,1,HOP,78
2,85,1,HOP,79
2,90,1,HOP,79
2,95,1,HOP,83
2,100,1,HOP,85
2,5,2,HOP,12
2,10,2,HOP,26
2,15,2,HOP,34
2,20,2,HOP,45
2,25,2,HOP,51
2,30,2,HOP,53
2,35,2,HOP,61
2,40,2,HOP,65
2,45,2,HOP,71
2,50,2,HOP,73
2,55,2,HOP,75
2,60,2,HOP,77
2,65,2,HOP,79
2,70,2,HOP,84
2,75,2,HOP,84
2,80,2,HOP,84
2,85,2,HOP,81
2,90,2,HOP,86
2,95,2,HOP,89
2,100,2,HOP,90
2,5,3,HOP,10
2,10,3,HOP,26
2,15,3,HOP,34
2,20,3,HOP,43
2,25,3,HOP,46
2,30,3,HOP,50
2,35,3,HOP,56
2,40,3,HOP,60
2,45,3,HOP,68
2,50,3,HOP,72
2,55,3,HOP,75
2,60,3,HOP,78
2,65,3,HOP,81
2,70,3,HOP,82
2,75,3,HOP,82
2,80,3,HOP,84
2,85,3,HOP,83
2,90,3,HOP,85
2,95,3,HOP,90
2,100,3,HOP,91
2,5,4,HOP,14
2,10,4,HOP,26
2,15,4,HOP,34
2,20,4,HOP,41
2,25,4,HOP,44
2,30,4,HOP,48
2,35,4,HOP,58
2,40,4,HOP,63
2,45,4,HOP,68
2,50,4,HOP,69
2,55,4,HOP,74
2,60,4,HOP,74
2,65,4,HOP,77
2,70,4,HOP,79
2,75,4,HOP,82
2,80,4,HOP,84
2,85,4,HOP,84
2,90,4,HOP,85
2,95,4,HOP,87
2,100,4,HOP,89
2,5,5,HOP,14
2,10,5,HOP,19
2,15,5,HOP,30
2,20,5,HOP,40
2,25,5,HOP,42
2,30,5,HOP,47
2,35,5,HOP,54
2,40,5,HOP,60
2,45,5,HOP,70
2,50,5,HOP,71
2,55,5,HOP,76
2,60,5,HOP,79
2,65,5,HOP,81
2,70,5,HOP,83
2,75,5,HOP,83
2,80,5,HOP,84
2,85,5,HOP,85
2,90,5,HOP,82
2,95,5,HOP,86
2,100,5,HOP,88
2,5,6,HOP,9
2,10,6,HOP,21
2,15,6,HOP,34
2,20,6,HOP,39
2,25,6,HOP,43
2,30,6,HOP,47
2,35,6,HOP,53
2,40,6,HOP,58
2,45,6,HOP,69
2,50,6,HOP,73
2,55,6,HOP,75
2,60,6,HOP,78
2,65,6,HOP,81
2,70,6,HOP,84
2,75,6,HOP,82
2,80,6,HOP,82
2,85,6,HOP,83
2,90,6,HOP,84
2,95,6,HOP,88
2,100,6,HOP,89
2,5,7,HOP,7
2,10,7,HOP,27
2,15,7,HOP,34
2,20,7,HOP,41
2,25,7,HOP,50
2,30,7,HOP,51
2,35,7,HOP,59
2,40,7,HOP,62
2,45,7,HOP,68
2,50,7,HOP,68
2,55,7,HOP,75
2,60,7,HOP,75
2,65,7,HOP,79
2,70,7,HOP,80
2,75,7,HOP,81
2,80,7,HOP,82
2,85,7,HOP,82
2,90,7,HOP,82
2,95,7,HOP,86
2,100,7,HOP,88
2,5,8,HOP,11
2,10,8,HOP,36
2,15,8,HOP,43
2,20,8,HOP,47
2,25,8,HOP,52
2,30,8,HOP,55
2,35,8,HOP,60
2,40,8,HOP,62
2,45,8,HOP,69
2,50,8,HOP,69
2,55,8,HOP,72
2,60,8,HOP,73
2,65,8,HOP,77
2,70,8,HOP,80
2,75,8,HOP,79
2,80,8,HOP,80
2,85,8,HOP,79
2,90,8,HOP,81
2,95,8,HOP,85
2,100,8,HOP,88
2,5,9,HOP,10
2,10,9,HOP,28
2,15,9,HOP,37
2,20,9,HOP,44
2,25,9,HOP,46
2,30,9,HOP,52
2,35,9,HOP,63
2,40,9,HOP,67
2,45,9,HOP,72
2,50,9,HOP,75
2,55,9,HOP,77
2,60,9,HOP,77
2,65,9,HOP,77
2,70,9,HOP,81
2,75,9,HOP,81
2,80,9,HOP,80
2,85,9,HOP,81
2,90,9,HOP,83
2,95,9,HOP,85
2,100,9,HOP,88
2,5,10,HOP,11
2,10,10,HOP,23
2,15,10,HOP,29
2,20,10,HOP,34
2,25,10,HOP,40
2,30,10,HOP,42
2,35,10,HOP,49
2,40,10,HOP,54
2,45,10,HOP,58
2,50,10,HOP,63
2,55,10,HOP,69
2,60,10,HOP,70
2,65,10,HOP,76
2,70,10,HOP,78
2,75,10,HOP,78
2,80,10,HOP,79
2,85,10,HOP,79
2,90,10,HOP,79
2,95,10,HOP,82
2,100,10,HOP,84
3,5,1,RF,50
3,10,1,RF,86
3,15,1,RF,110
3,20,1,RF,114
3,25,1,RF,130
3,30,1,RF,132
3,35,1,RF,144
3,40,1,RF,152
3,45,1,RF,156
3,50,1,RF,160
3,55,1,RF,164
3,60,1,RF,166
3,65,1,RF,168
3,70,1,RF,168
3,75,1,RF,174
3,80,1,RF,176
3,85,1,RF,180
3,90,1,RF,180
3,95,1,RF,182
3,100,1,RF,184
3,5,1,HOP,16
3,10,1,HOP,28
3,15,1,HOP,35
3,20,1,HOP,38
3,25,1,HOP,45
3,30,1,HOP,48
3,35,1,HOP,57
3,40,1,HOP,61
3,45,1,HOP,63
3,50,1,HOP,68
3,55,1,HOP,69
3,60,1,HOP,71
3,65,1,HOP,74
3,70,1,HOP,70
3,75,1,HOP,70
3,80,1,HOP,72
3,85,1,HOP,74
3,90,1,HOP,74
3,95,1,HOP,78
3,100,1,HOP,78
3,5,2,HOP,12
3,10,2,HOP,28
3,15,2,HOP,33
3,20,2,HOP,39
3,25,2,HOP,45
3,30,2,HOP,50
3,35,2,HOP,53
3,40,2,HOP,59
3,45,2,HOP,62
3,50,2,HOP,68
3,55,2,HOP,70
3,60,2,HOP,71
3,65,2,HOP,72
3,70,2,HOP,73
3,75,2,HOP,77
3,80,2,HOP,78
3,85,2,HOP,80
3,90,2,HOP,80
3,95,2,HOP,83
3,100,2,HOP,86
3,5,3,HOP,22
3,10,3,HOP,24
3,15,3,HOP,34
3,20,3,HOP,39
3,25,3,HOP,45
3,30,3,HOP,53
3,35,3,HOP,58
3,40,3,HOP,62
3,45,3,HOP,66
3,50,3,HOP,70
3,55,3,HOP,73
3,60,3,HOP,76
3,65,3,HOP,76
3,70,3,HOP,77
3,75,3,HOP,79
3,80,3,HOP,78
3,85,3,HOP,80
3,90,3,HOP,77
3,95,3,HOP,81
3,100,3,HOP,82
3,5,4,HOP,9
3,10,4,HOP,17
3,15,4,HOP,35
3,20,4,HOP,41
3,25,4,HOP,44
3,30,4,HOP,47
3,35,4,HOP,54
3,40,4,HOP,57
3,45,4,HOP,60
3,50,4,HOP,65
3,55,4,HOP,68
3,60,4,HOP,70
3,65,4,HOP,72
3,70,4,HOP,73
3,75,4,HOP,76
3,80,4,HOP,77
3,85,4,HOP,77
3,90,4,HOP,79
3,95,4,HOP,81
3,100,4,HOP,83
3,5,5,HOP,13
3,10,5,HOP,21
3,15,5,HOP,31
3,20,5,HOP,39
3,25,5,HOP,46
3,30,5,HOP,52
3,35,5,HOP,58
3,40,5,HOP,61
3,45,5,HOP,67
3,50,5,HOP,68
3,55,5,HOP,71
3,60,5,HOP,73
3,65,5,HOP,73
3,70,5,HOP,74
3,75,5,HOP,75
3,80,5,HOP,76
3,85,5,HOP,79
3,90,5,HOP,79
3,95,5,HOP,84
3,100,5,HOP,84
3,5,6,HOP,16
3,10,6,HOP,24
3,15,6,HOP,29
