#order t84,t29,t13,t22,t93,t28,t48,t33,t45,t21,t31,t17,t73,t87,t83,t94,t64,t60,t51,t34,t10,t1,t43,t59,t26,t15,t58,t99,t24,t42,t85,t39,t72,t53,t40,t35,t78,t79,t88,t14,t97,t6,t95,t52,t41,t37,t46,t49,t3,t86,t65,t7,t54,t50,t44,t56,t27,t67,t20,t68,t16,t19,t36,t2,t63,t98,t76,t55,t69,t89,t96,t11,t57,t74,t61,t32,t47,t62,t66,t8,t9,t18,t80,t75,t70,t5,t71,t90,t100,t92,t77,t4,t91,t12,t30,t38,t81,t82,t25,t23
#tree,neighbourhood_size
239,12269
240,12611
241,12366
242,12569
243,12501
244,12386
245,12534
246,12443
247,12245
248,12526
249,12469
250,12617
251,12509
252,12577
253,12234
254,12472
255,12945
256,12378
257,12511
258,12224
259,12664
260,12289
261,12166
262,12202
263,12570
264,12413
265,12417
266,12470
267,12116
268,12299
269,12481
270,12344
271,12540
272,12438
273,12268
274,12454
275,12566
276,12527
277,12538
278,12518
279,12713
280,12434
281,12251
282,12608
283,12353
284,12146
285,12277
286,12402
287,12198
288,12217
289,12589
290,12184
291,12510
292,12473
293,12347
294,12276
295,12509
296,12705
297,12923
298,12259
299,12299
300,12277
301,12690
302,12471
303,12419
304,12509
305,12662
306,12298
307,12510
308,12260
309,12397
310,12452
311,12545
312,12438
313,12316
314,12707
315,12703
316,12559
317,12541
318,12322
319,12289
320,12199
321,12493
322,12485
323,12305
324,12392
325,12337
326,12525
327,12502
328,12138
329,12491
330,12232
331,12572
332,12139
333,12544
334,12454
335,12119
336,12219
337,12691
338,12735
339,12387
340,12082
341,12675
342,12356
343,12439
344,12372
345,12303
346,12385
347,12482
348,12707
349,12323
350,12407
351,12412
352,12619
353,12477
354,12241
355,12492
356,12329
357,12411
358,12589
359,12249
360,12626
361,12542
362,12171
363,12579
364,12587
365,12379
366,12401
367,12425
368,12360
369,11813
370,12536
371,12697
372,12631
373,12315
374,12357
375,12469
376,12438
377,12271
378,12328
379,12491
380,12750
381,12117
382,12733
383,12678
384,12307
385,12546
386,12334
387,12127
388,12211
389,12519
390,12703
391,12482
392,12623
393,12479
394,12448
395,12347
396,12321
397,12370
398,12404
399,12566
400,12593
401,12480
402,12440
403,12218
404,12291
405,12319
406,12562
407,12547
408,12315
409,12881
410,12364
411,12702
412,12494
413,12205
414,12224
415,12317
416,12206
417,12656
418,12332
419,12598
420,12447
421,12312
422,12251
423,12325
424,12340
425,12418
426,12465
427,12352
428,12319
429,12659
430,11759
431,12471
432,12416
433,12468
434,12260
435,12193
436,12599
437,12598
438,12280
439,12250
440,12287
441,12406
442,12440
443,12705
444,12261
445,12456
446,12753
447,12580
448,12478
449,12336
450,12340
451,12489
452,12421
453,12589
454,12480
455,12396
456,12588
457,12430
458,12485
459,12411
460,12556
461,12684
462,12240
463,12448
464,12308
465,12523
466,12429
467,12191
468,12431
469,12131
470,12309
471,12493
472,12441
473,12563
474,12268
475,12503
476,12214
477,12158
478,12313
479,12430
480,12382
481,12692
482,12622
483,12639
484,12278
485,12282
486,12541
487,12555
488,12167
489,12129
490,12538
491,12437
492,12313
493,12289
494,12311
495,12557
496,12601
497,12285
498,12432
499,12591
500,12018
501,12450
502,12162
503,12181
504,12348
505,12159
506,12297
507,12196
508,12446
509,12591
510,12388
511,12310
512,12346
513,12306
514,13000
515,12147
516,12341
517,12687
518,12586
519,12370
520,12263
521,12441
522,12680
523,12409
524,12376
525,12274
526,12384
527,12314
528,12251
529,12353
530,12467
531,12349
532,12215
533,12396
534,12503
535,12505
536,12575
537,12302
538,12235
539,12669
540,12541
541,12620
542,12605
543,12510
544,12282
545,12764
546,12586
547,12494
548,12500
549,12385
550,12170
551,12368
552,12271
553,12325
554,12614
555,12328
556,12405
557,12295
558,12767
559,12317
560,12483
561,12363
562,12223
563,12444
564,12465
565,12511
566,12532
567,12551
568,12659
569,12449
570,12478
571,12471
572,12432
573,12617
574,12623
575,12208
576,12467
577,12478
578,12187
579,12572
580,12605
581,12437
582,11994
583,12461
584,12625
585,11973
586,12071
587,12613
588,12303
589,12333
590,12160
591,12291
592,12508
593,12325
594,12557
595,12576
596,12649
597,12646
598,12859
599,12627
600,12552
601,11966
602,12585
603,12657
604,12368
605,12408
606,12516
607,12529
608,12287
609,12425
610,12265
611,12589
612,12445
613,12389
614,12337
615,12186
616,12454
617,12738
618,12523
619,12375
620,12687
621,12422
622,12619
623,12508
624,12306
625,12521
626,12311
627,12373
628,12287
629,12429
630,12602
631,12432
632,12402
633,12545
634,12327
635,12144
636,12749
637,12586
638,12459
639,12330
640,12059
641,12400
642,12580
643,12606
644,12438
645,12739
646,12514
647,12400
648,12428
649,12624
650,12537
651,12290
652,12296
653,12274
654,12471
655,12316
656,12352
657,12556
658,12487
659,12376
660,12427
661,12493
662,12399
663,12615
664,12512
665,12427
666,12338
667,12521
668,12378
669,12419
670,12312
671,12411
672,12287
673,12696
674,12225
675,12493
676,12711
677,12594
678,12818
679,12383
680,12082
681,12483
682,12350
683,12559
684,12185
685,12574
686,12452
687,12409
688,12475
689,12342
690,12030
691,12361
692,12515
693,12383
694,12327
695,12276
696,12551
697,12225
698,12527
699,12256
700,12192
701,12268
702,12656
703,12358
704,12616
705,12231
706,12286
707,12569
708,12622
709,12551
710,12376
711,12197
712,12668
713,12233
714,12282
715,12310
716,12525
717,12565
718,12374
719,12460
720,12791
721,12360
722,12432
723,12342
724,12755
725,12347
726,12286
727,12377
728,12260
729,12597
730,12719
731,12271
732,12451
733,12579
734,12363
735,12586
736,12366
737,12556
738,12678
739,12547
740,12659
741,12395
742,12344
743,12156
744,12542
745,12548
746,12378
747,12453
748,12508
749,12386
750,12148
751,12304
752,12529
753,12769
754,12369
755,12420
756,12619
757,12658
758,12449
759,12631
760,12478
761,12442
762,12459
763,12533
764,12310
765,12425
766,12436
767,12248
768,12503
769,12318
770,12271
771,12259
772,12225
773,12561
774,12208
775,12654
776,12269
777,12216
778,12567
779,12457
780,12304
781,12507
782,12540
783,12072
784,12650
785,12772
786,12585
787,12618
788,12464
789,12457
790,12410
791,12500
792,12460
793,12555
794,12522
795,12450
796,12454
797,12589
798,12334
799,12394
800,12283
801,12293
802,12709
803,12317
804,12260
805,12609
806,12546
807,12292
808,12174
809,12498
810,12392
811,12387
812,12300
813,12299
814,12544
815,12548
816,12486
817,12637
818,12446
819,12569
820,12422
821,12276
822,12152
823,12253
824,12368
825,12312
826,12375
827,12604
828,12222
829,12629
830,12674
831,12438
832,12293
833,12456
834,11996
835,12317
836,12649
837,12443
838,12365
839,12771
840,12508
841,12589
842,12474
843,12665
844,12660
845,12331
846,12661
847,12496
848,12494
849,12511
850,12285
851,12510
852,12521
853,12607
854,12669
855,12218
856,12500
857,12340
858,12173
859,12638
860,12407
861,12446
862,12378
863,12541
864,12298
865,12684
866,12423
867,12229
868,12139
869,12372
870,12713
871,12371
872,12581
873,12556
874,12278
875,12540
876,12547
877,12685
878,12631
879,12328
880,12436
881,12359
882,12300
883,12278
884,12555
885,12284
886,12375
887,12405
888,12656
889,12148
890,12606
891,12295
892,12201
893,12486
894,12132
895,12497
896,12256
897,12195
898,12431
899,12244
900,12193
901,12338
902,12392
903,12387
904,12625
905,12314
906,12447
907,12499
908,12684
909,12440
910,12407
911,12424
912,12529
913,12243
914,12535
915,12289
916,12482
917,12416
918,12598
919,12438
920,12349
921,12341
922,12176
923,12430
924,12634
925,12544
926,12650
927,12165
928,12408
929,12623
930,12459
931,12473
932,12298
933,12489
934,12055
935,12651
936,12123
937,12402
938,12204
939,12325
940,12430
941,12193
942,12524
943,12361
944,12692
945,12424
946,12433
947,12437
948,12374
949,12120
950,12378
951,12371
952,12448
953,12277
954,12532
955,12554
956,12382
957,12188
958,12488
959,12303
960,12299
961,12383
962,12283
963,12497
964,12506
965,12497
966,12564
967,12568
968,12185
969,12668
970,12624
971,12585
972,12691
973,12524
974,12367
975,12019
976,12672
977,12587
978,12398
979,12498
980,12389
981,12538
982,12436
983,12222
984,12704
985,12571
986,12437
987,12278
988,12323
989,12319
990,12552
991,12394
992,12330
993,12294
994,12472
995,12245
996,12708
997,12431
998,12367
999,12379
1000,12264
