#order t84,t29,t13,t22,t93,t28,t48,t33,t45,t21,t31,t17,t73,t87,t83,t94,t64,t60,t51,t34,t10,t1,t43,t59,t26,t15,t58,t99,t24,t42,t85,t39,t72,t53,t40,t35,t78,t79,t88,t14,t97,t6,t95,t52,t41,t37,t46,t49,t3,t86,t65,t7,t54,t50,t44,t56,t27,t67,t20,t68,t16,t19,t36,t2,t63,t98,t76,t55,t69,t89,t96,t11,t57,t74,t61,t32,t47,t62,t66,t8,t9,t18,t80,t75,t70,t5,t71,t90,t100,t92,t77,t4,t91,t12,t30,t38,t81,t82,t25,t23
#tree,neighbourhood_size
1,9958
2,12363
3,12667
4,12574
5,12425
6,12416
7,12773
8,12537
9,12096
10,12552
11,12370
12,12539
13,12578
14,12318
15,12608
16,12427
17,12202
18,12504
19,12554
20,12274
21,12368
22,12606
23,12552
24,12296
25,12840
26,12238
27,12749
28,12517
29,12349
30,12382
31,12566
32,12400
33,12586
34,12508
35,12300
36,12681
37,12763
38,12492
39,12082
40,12302
41,12463
42,12593
43,12254
44,12542
45,12219
46,12429
47,12557
48,12665
49,12367
50,12193
51,12134
52,12546
53,12507
54,12430
55,12456
56,12394
57,12514
58,12511
59,12510
60,12429
61,12318
62,12617
63,12577
64,12435
65,12345
66,12297
67,12470
68,12577
69,12338
70,12529
71,12049
72,12246
73,12297
74,12460
75,12521
76,12400
77,12313
78,12478
79,12531
80,12200
81,11933
82,12451
83,12477
84,11950
85,12523
86,12436
87,12453
88,12452
89,12375
90,12026
91,12564
92,12724
93,12207
94,12233
95,12541
96,12389
97,12405
98,12429
99,12087
100,12505
101,12144
102,12392
103,11916
104,12595
105,12380
106,12557
107,12398
108,12303
109,12248
110,12337
111,12496
112,12339
113,12640
114,12547
115,12385
116,12433
117,12404
118,12646
119,12403
120,12322
121,12429
122,12476
123,12359
124,12643
125,12361
126,12382
127,12578
128,12437
129,12467
130,12517
131,12370
132,12374
133,12394
134,12530
135,12398
136,12352
137,12166
138,12414
139,12297
140,12526
141,12600
142,12519
143,12361
144,12568
145,12359
146,12812
147,12653
148,12423
149,12214
150,12236
151,12564
152,12571
153,12585
154,12288
155,12513
156,12663
157,12497
158,12313
159,12559
160,12470
161,12640
162,12356
163,12554
164,12137
165,12416
166,12377
167,12512
168,12420
169,12181
170,12421
171,12411
172,12617
173,12315
174,12262
175,12376
176,12296
177,12603
178,12371
179,12307
180,12605
181,12444
182,12379
183,12434
184,12465
185,12360
186,12228
187,12338
188,12147
189,12730
190,12457
191,12523
192,12359
193,12597
194,12486
195,12352
196,12470
197,12426
198,11972
199,12474
200,12232
201,11996
202,12118
203,12557
204,12376
205,12642
206,12493
207,12399
208,12508
209,12156
210,12644
211,12249
212,12479
213,12277
214,12647
215,12490
216,12219
217,12485
218,12680
219,12281
220,12172
221,12389
222,12323
223,12374
224,12379
225,12509
226,12423
227,12386
228,12304
229,12378
230,12503
231,12273
232,12480
233,12369
234,12806
235,12433
236,12400
237,12720
238,12107
