#order t84,t29,t13,t22,t93,t28,t48,t33,t45,t21,t31,t17,t73,t87,t83,t94,t64,t60,t51,t34,t10,t1,t43,t59,t26,t15,t58,t99,t24,t42,t85,t39,t72,t53,t40,t35,t78,t79,t88,t14,t97,t6,t95,t52,t41,t37,t46,t49,t3,t86,t65,t7,t54,t50,t44,t56,t27,t67,t20,t68,t16,t19,t36,t2,t63,t98,t76,t55,t69,t89,t96,t11,t57,t74,t61,t32,t47,t62,t66,t8,t9,t18,t80,t75,t70,t5,t71,t90,t100,t92,t77,t4,t91,t12,t30,t38,t81,t82,t25,t23
#tree,neighbourhood_size
189,12969
190,12699
191,12762
192,12601
193,12831
194,12726
195,12592
196,12710
197,12669
198,12217
199,12711
200,12472
201,12233
202,12357
203,12797
204,12617
205,12877
206,12733
207,12640
208,12746
209,12399
210,12881
211,12491
212,12716
213,12518
214,12884
215,12729
216,12461
217,12721
218,12920
219,12524
220,12409
221,12630
222,12562
223,12614
224,12623
225,12745
226,12662
227,12627
228,12540
229,12613
230,12742
231,12510
232,12714
233,12609
234,13042
235,12671
236,12637
237,12958
238,12352
239,12508
240,12848
241,12607
242,12809
243,12742
244,12624
245,12774
246,12681
247,12488
248,12763
249,12709
250,12852
251,12749
252,12810
253,12472
254,12715
255,13179
256,12615
257,12745
258,12464
259,12900
260,12526
261,12406
262,12433
263,12810
264,12655
265,12654
266,12709
267,12356
268,12539
269,12720
270,12582
271,12781
272,12680
273,12507
274,12694
275,12802
276,12769
277,12771
278,12759
279,12950
280,12670
281,12492
282,12847
283,12596
284,12390
285,12522
286,12644
287,12436
288,12453
289,12826
290,12420
291,12747
292,12713
293,12589
294,12512
295,12748
296,12944
297,13158
298,12498
299,12539
300,12517
301,12925
302,12711
303,12655
304,12750
305,12900
306,12537
307,12749
308,12499
309,12634
310,12690
311,12784
312,12678
313,12555
314,12944
315,12938
316,12800
317,12778
318,12566
319,12534
320,12438
321,12734
322,12721
323,12544
324,12628
325,12576
326,12765
327,12742
328,12374
329,12732
330,12472
331,12809
332,12372
333,12783
334,12695
335,12362
336,12456
337,12925
338,12969
339,12626
340,12329
341,12913
342,12595
343,12677
344,12611
345,12544
346,12626
347,12724
348,12939
349,12564
350,12647
351,12651
352,12857
353,12716
354,12482
355,12735
356,12570
357,12650
358,12824
359,12486
360,12859
361,12781
362,12409
363,12820
364,12823
365,12617
366,12635
367,12665
368,12600
369,12059
370,12777
371,12938
372,12869
373,12554
374,12595
375,12710
376,12678
377,12509
378,12568
379,12726
380,12982
381,12359
382,12969
383,12919
384,12549
385,12781
386,12577
387,12371
388,12452
389,12758
390,12939
391,12721
392,12862
393,12714
394,12685
395,12583
396,12560
397,12609
398,12642
399,12801
400,12831
401,12717
402,12677
403,12456
404,12528
405,12558
406,12799
407,12788
408,12551
409,13118
410,12600
411,12937
412,12733
413,12446
414,12459
415,12557
416,12447
417,12895
