RF Pearson correlation
RF   10 0.815
RF   20 0.902
RF   30 0.909
RF   40 0.913
RF   50 0.909
RF   60 0.905
RF   70 0.9
RF   80 0.892
RF   90 0.883
RF   100 0.874
Mean HOP Pearson correlation
HOP  10 0.84
HOP  20 0.935
HOP  30 0.953
HOP  40 0.956
HOP  50 0.954
HOP  60 0.95
HOP  70 0.944
HOP  80 0.938
HOP  90 0.931
HOP  100 0.923
HOP Pearson correlation
HOP  10 0.707
HOP  20 0.867
HOP  30 0.909
HOP  40 0.924
HOP  50 0.928
HOP  60 0.928
HOP  70 0.926
HOP  80 0.921
HOP  90 0.916
HOP  100 0.91
